Observation Number,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
1,01 01 2018 00:00,380.0477905,5.31133604,416.3289078,259.9949036
2,01 01 2018 00:10,453.7691956,5.672166824,519.9175111,268.6411133
3,01 01 2018 00:20,306.3765869,5.216036797,390.9000158,272.5647888
4,01 01 2018 00:30,419.6459045,5.659674168,516.127569,271.2580872
5,01 01 2018 00:40,380.6506958,5.577940941,491.702972,265.6742859
6,01 01 2018 00:50,402.3919983,5.604052067,499.436385,264.5786133
7,01 01 2018 01:00,447.6057129,5.793007851,557.3723633,266.1636047
8,01 01 2018 01:10,387.2421875,5.306049824,414.8981788,257.9494934
9,01 01 2018 01:20,463.6512146,5.584629059,493.6776521,253.4806976
10,01 01 2018 01:30,439.725708,5.523228168,475.7067828,258.7237854
11,01 01 2018 01:40,498.1817017,5.724115849,535.841397,251.8509979
12,01 01 2018 01:50,526.8162231,5.934198856,603.0140765,265.5046997
13,01 01 2018 02:00,710.5872803,6.547413826,824.6625136,274.2329102
14,01 01 2018 02:10,655.1942749,6.199746132,693.4726411,266.7331848
15,01 01 2018 02:20,754.7625122,6.505383015,808.0981385,266.7604065
16,01 01 2018 02:30,790.1732788,6.634116173,859.4590208,270.4931946
17,01 01 2018 02:40,742.9852905,6.378912926,759.4345366,266.5932922
18,01 01 2018 02:50,748.2296143,6.446652889,785.2810099,265.5718079
19,01 01 2018 03:00,736.6478271,6.415082932,773.1728635,261.1586914
20,01 01 2018 03:10,787.2462158,6.437530994,781.7712157,257.5602112
21,01 01 2018 03:20,722.8640747,6.220024109,700.7646999,255.9264984
22,01 01 2018 03:30,935.0333862,6.89802599,970.7366269,250.0128937
23,01 01 2018 03:40,1220.609009,7.60971117,1315.048928,255.9857025
24,01 01 2018 03:50,1053.771973,7.288355827,1151.265744,255.4445953
25,01 01 2018 04:00,1493.807983,7.943101883,1497.583724,256.4074097
26,01 01 2018 04:10,1724.488037,8.376161575,1752.199662,252.4125977
